Rank,School,Conf,Prev,Quad 1 W,Quad 1 L,Quad 2 W,Quad 2 L,Quad 3 W,Quad 3 L,Quad 4 W,Quad 4 L,W,L,Road W,Road L,Home W,Home L,Neutral W,Neutral L,Non-Div I W,Non-Div I L
232,Dartmouth,Ivy League,230,0,1,0,2,1,1,4,3,5,7,3,5,2,2,0,0,2,0
233,Cal Poly,Big West,231,0,2,1,1,3,3,0,4,4,10,3,6,1,3,0,1,2,0
234,Jacksonville St.,CUSA,238,0,0,1,2,1,1,3,4,5,7,2,3,3,3,0,1,3,0
235,Queens (NC),ASUN,233,0,5,0,0,0,3,6,0,6,8,0,7,6,0,0,1,1,0
236,Portland,WCC,235,0,2,0,4,1,4,4,0,5,10,0,6,5,4,0,0,2,0
237,Lamar University,Southland,236,0,3,0,0,1,1,4,4,5,8,4,4,1,3,0,1,2,0
238,Saint Joseph's,Atlantic 10,244,0,2,0,1,1,3,6,1,7,7,0,5,5,2,2,0,2,0
239,Central Conn. St.,NEC,237,0,1,0,0,2,4,3,1,5,6,3,5,2,1,0,0,2,0
240,La Salle,Atlantic 10,264,0,3,0,2,1,5,3,1,4,11,1,6,2,2,1,3,1,0
241,Purdue Fort Wayne,Horizon,253,1,2,0,2,1,2,5,2,7,8,2,7,5,1,0,0,3,0
242,American,Patriot,239,0,4,0,0,0,2,7,1,7,7,1,6,6,1,0,0,2,0
243,Samford,SoCon,241,0,2,0,1,2,2,5,2,7,7,3,5,3,1,1,1,2,0
244,Radford,Big South,257,0,2,0,2,0,2,6,2,6,8,1,4,5,2,0,2,3,0
245,UNC Asheville,Big South,248,0,1,0,3,1,4,3,2,4,10,0,6,3,4,1,0,3,0
246,Stony Brook,CAA,240,0,1,0,1,2,3,5,2,7,7,1,5,5,1,1,1,2,0
247,Rice,American,268,0,2,1,1,1,5,3,1,5,9,1,5,3,3,1,1,2,0
248,San Jose St.,Mountain West,242,0,4,0,2,0,4,4,0,4,10,0,5,3,4,1,1,1,0
249,Merrimack,MAAC,245,0,2,0,1,0,4,9,0,9,7,3,5,5,0,1,2,0,0
250,Fairfield,MAAC,243,0,1,0,1,1,1,7,4,8,7,4,5,4,2,0,0,1,0
251,Coastal Carolina,Sun Belt,247,0,1,0,1,2,2,5,4,7,8,4,6,2,2,1,0,1,0
252,Long Beach St.,Big West,246,0,2,0,2,0,5,3,1,3,10,0,7,3,3,0,0,2,0
253,Saint Peter's,MAAC,249,0,2,0,0,1,1,5,2,6,5,1,4,5,1,0,0,1,0
254,USC Upstate,Big South,250,0,2,0,2,1,1,4,4,5,9,2,7,3,2,0,0,3,0
255,Hampton,CAA,251,0,1,0,1,0,2,6,4,6,8,2,5,3,0,1,3,2,0
256,Louisiana Tech,CUSA,252,0,0,0,2,0,4,5,0,5,6,0,6,5,0,0,0,3,0
257,UC Riverside,Big West,255,0,3,0,3,2,2,2,1,4,9,3,7,1,2,0,0,2,0
258,Pepperdine,WCC,261,0,4,0,1,0,4,3,3,3,12,1,5,2,6,0,1,2,0
259,UMBC,America East,256,0,2,0,1,0,2,5,1,5,6,3,4,2,2,0,0,2,0
260,Wagner,NEC,258,0,2,0,0,0,3,3,2,3,7,2,6,1,1,0,0,3,0
261,Howard,MEAC,263,0,1,1,2,0,0,5,4,6,7,2,5,1,2,3,0,3,0
262,Detroit Mercy,Horizon,265,0,2,0,1,1,2,3,3,4,8,3,6,1,2,0,0,2,0
263,Western Caro.,SoCon,259,0,3,0,2,1,1,2,3,3,9,1,8,2,1,0,0,2,0
