Team,MP,FG,FGA,FT,FTA,3P,3PA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,L,FG%,FT%,3P%,2P%
Cal Poly,3025.0,398.0,914.0,287.0,381.0,169.0,470.0,138.0,391.0,529.0,193.0,96.0,35.0,246.0,334.0,1252.0,6.0,9.0,0.44,0.75,0.36,0.52
Cal Poly Humboldt,200.0,20.0,62.0,6.0,10.0,7.0,27.0,10.0,25.0,35.0,15.0,6.0,2.0,16.0,11.0,53.0,0.0,1.0,0.32,0.6,0.26,0.37
Cal State Bakersfield,2800.0,334.0,805.0,289.0,387.0,65.0,237.0,148.0,298.0,446.0,147.0,112.0,83.0,202.0,279.0,1022.0,5.0,9.0,0.42,0.75,0.27,0.47
Cal State Fullerton,2800.0,443.0,939.0,247.0,358.0,123.0,366.0,124.0,356.0,480.0,233.0,107.0,32.0,155.0,290.0,1256.0,5.0,9.0,0.47,0.68,0.32,0.56
Cal State Northridge,2602.0,379.0,864.0,181.0,272.0,96.0,308.0,162.0,327.0,489.0,215.0,97.0,30.0,169.0,227.0,1035.0,8.0,5.0,0.44,0.68,0.32,0.5
Cal Tech,200.0,27.0,69.0,21.0,25.0,7.0,27.0,5.0,24.0,29.0,11.0,6.0,0.0,22.0,25.0,82.0,0.0,1.0,0.39,0.84,0.26,0.48
Caldwell,200.0,24.0,63.0,9.0,12.0,11.0,28.0,6.0,23.0,29.0,10.0,9.0,4.0,18.0,18.0,68.0,0.0,1.0,0.38,0.75,0.39,0.37
California,2600.0,361.0,760.0,237.0,302.0,121.0,312.0,104.0,317.0,421.0,198.0,85.0,55.0,127.0,220.0,1080.0,12.0,1.0,0.48,0.77,0.39,0.54
California Baptist,2600.0,345.0,797.0,209.0,290.0,81.0,256.0,176.0,305.0,481.0,152.0,80.0,31.0,152.0,245.0,980.0,10.0,3.0,0.44,0.71,0.32,0.49
Calumet College,400.0,38.0,110.0,20.0,24.0,12.0,37.0,11.0,36.0,47.0,12.0,15.0,5.0,31.0,25.0,108.0,0.0,2.0,0.34,0.83,0.32,0.34
Cameron,200.0,19.0,57.0,16.0,24.0,9.0,28.0,8.0,21.0,29.0,7.0,10.0,3.0,17.0,14.0,63.0,0.0,1.0,0.33,0.67,0.32,0.34
Campbell,2400.0,326.0,729.0,222.0,320.0,75.0,262.0,148.0,287.0,435.0,158.0,81.0,32.0,172.0,207.0,949.0,5.0,7.0,0.43,0.69,0.27,0.52
Campbellsville,200.0,22.0,60.0,5.0,7.0,10.0,32.0,3.0,16.0,19.0,16.0,6.0,3.0,12.0,14.0,59.0,0.0,1.0,0.37,0.71,0.31,0.43
Canisius,2400.0,249.0,620.0,147.0,218.0,77.0,233.0,103.0,258.0,361.0,134.0,52.0,25.0,156.0,208.0,722.0,5.0,7.0,0.4,0.67,0.33,0.44
Capital,200.0,25.0,62.0,8.0,10.0,12.0,36.0,9.0,23.0,32.0,12.0,8.0,3.0,12.0,16.0,70.0,0.0,1.0,0.4,0.8,0.33,0.5
Carolina,600.0,54.0,161.0,26.0,36.0,19.0,69.0,19.0,54.0,73.0,27.0,14.0,4.0,59.0,53.0,153.0,0.0,3.0,0.34,0.68,0.27,0.38
Catawba,200.0,26.0,58.0,4.0,8.0,6.0,18.0,7.0,7.0,14.0,11.0,15.0,4.0,13.0,24.0,62.0,0.0,1.0,0.45,0.5,0.33,0.5
Central Arkansas,2625.0,359.0,831.0,141.0,221.0,133.0,427.0,118.0,328.0,446.0,199.0,118.0,19.0,165.0,206.0,992.0,5.0,8.0,0.43,0.65,0.31,0.55
Central Connecticut,2225.0,327.0,685.0,127.0,177.0,90.0,237.0,98.0,292.0,390.0,180.0,74.0,55.0,108.0,136.0,871.0,6.0,5.0,0.47,0.72,0.38,0.52
Central Michigan,2400.0,330.0,722.0,149.0,208.0,72.0,253.0,125.0,261.0,386.0,200.0,73.0,52.0,144.0,214.0,881.0,4.0,8.0,0.46,0.71,0.28,0.54
Central Pennsylvania College,600.0,65.0,177.0,38.0,56.0,21.0,68.0,24.0,50.0,74.0,31.0,24.0,4.0,66.0,65.0,189.0,0.0,3.0,0.37,0.69,0.31,0.41
Central State (OH),400.0,56.0,130.0,10.0,17.0,16.0,51.0,12.0,33.0,45.0,28.0,13.0,6.0,29.0,31.0,138.0,0.0,2.0,0.43,0.57,0.31,0.51
Champion Christian,1200.0,139.0,422.0,34.0,47.0,67.0,237.0,42.0,101.0,143.0,88.0,42.0,16.0,121.0,94.0,379.0,0.0,6.0,0.33,0.73,0.28,0.39
Charleston Southern,3000.0,459.0,1010.0,188.0,276.0,216.0,576.0,168.0,459.0,627.0,300.0,68.0,60.0,189.0,292.0,1322.0,9.0,6.0,0.45,0.67,0.37,0.57
Charlotte,2625.0,320.0,717.0,188.0,272.0,109.0,311.0,133.0,285.0,418.0,170.0,68.0,47.0,142.0,227.0,937.0,6.0,7.0,0.45,0.69,0.35,0.52
Chattanooga,2600.0,347.0,774.0,170.0,228.0,146.0,416.0,103.0,304.0,407.0,216.0,86.0,24.0,117.0,234.0,1010.0,6.0,7.0,0.45,0.74,0.35,0.56
Cheyney,401.0,45.0,107.0,29.0,43.0,10.0,34.0,13.0,26.0,39.0,15.0,17.0,4.0,36.0,34.0,129.0,0.0,2.0,0.42,0.68,0.29,0.48
Chicago State,2600.0,305.0,775.0,187.0,248.0,64.0,225.0,111.0,254.0,365.0,124.0,110.0,14.0,156.0,265.0,861.0,2.0,11.0,0.39,0.76,0.29,0.44
Christendom,200.0,13.0,63.0,5.0,9.0,5.0,18.0,8.0,24.0,32.0,10.0,5.0,2.0,12.0,10.0,36.0,0.0,1.0,0.21,0.56,0.28,0.18
Christian Brothers,200.0,26.0,60.0,10.0,13.0,5.0,26.0,9.0,19.0,28.0,8.0,4.0,1.0,10.0,13.0,67.0,0.0,1.0,0.43,0.77,0.19,0.62
Cincinnati,2400.0,308.0,732.0,170.0,267.0,110.0,353.0,122.0,323.0,445.0,207.0,86.0,64.0,158.0,204.0,896.0,7.0,5.0,0.42,0.64,0.32,0.52
Cincinnati-Clermont,200.0,24.0,73.0,10.0,14.0,11.0,36.0,8.0,13.0,21.0,13.0,12.0,1.0,22.0,22.0,69.0,0.0,1.0,0.33,0.71,0.31,0.35
Cleary University,391.0,37.0,115.0,18.0,36.0,8.0,36.0,15.0,39.0,54.0,16.0,8.0,6.0,34.0,42.0,100.0,0.0,2.0,0.32,0.5,0.21,0.36
Clemson,2625.0,351.0,768.0,224.0,303.0,110.0,327.0,135.0,333.0,468.0,192.0,79.0,34.0,113.0,213.0,1036.0,10.0,3.0,0.46,0.75,0.34,0.55
Cleveland State,2800.0,365.0,822.0,227.0,314.0,144.0,380.0,132.0,304.0,436.0,216.0,71.0,40.0,189.0,260.0,1101.0,4.0,10.0,0.44,0.71,0.38,0.49
Clinton College,200.0,15.0,65.0,7.0,10.0,4.0,21.0,6.0,16.0,22.0,4.0,10.0,4.0,13.0,17.0,41.0,0.0,1.0,0.23,0.7,0.19,0.25
Coastal Carolina,2625.0,334.0,831.0,169.0,241.0,114.0,343.0,120.0,384.0,504.0,149.0,67.0,42.0,119.0,268.0,951.0,7.0,6.0,0.4,0.68,0.32,0.45
Coastal Georgia,600.0,58.0,171.0,37.0,55.0,28.0,84.0,22.0,58.0,80.0,28.0,21.0,11.0,50.0,50.0,181.0,0.0,3.0,0.34,0.67,0.34,0.35
